Centre,Region,Black,N with data
B Heart,West midlands,5.8,"1,040"
B QEH,West midlands,8.8,"1,932"
Basldn,East of England,6.5,400
Bradfd,Yorkshire & Humber,1.9,624
Brightn,South East,2.1,899
Bristol,South West,3.7,"1,562"
Camb,East of England,1.2,"1,054"
Carlis,North West,0,267
Carsh,South East,8.8,"1,623"
Chelms,East of England,1.6,319
Colchr,East of England,1.3,152
Covnt,West midlands,4.1,970
Derby,East midlands,3.9,662
Donc,Yorkshire & Humber,1.4,211
Dudley,West midlands,3,462
Exeter,South West,0.2,934
Glouc,South West,1,577
Hull,Yorkshire & Humber,,405
Ipswi,East of England,3.1,382
Kent,South East,0.6,787
L Barts,London,29.5,"1,908"
L Guys,London,27.9,"1,183"
L Kings,London,31.1,"1,167"
L Rfree,London,21.8,"1,444"
L St.G,London,21.3,489
L West,London,16.8,"3,038"
Leeds,Yorkshire & Humber,3.8,"1,388"
Leic,East midlands,3,"2,213"
Liv Ain,North West,0.7,277
Liv RI,North West,1.6,"1,018"
M RI,North West,8,890
Middlbr,North East,0.2,979
Newc,North East,0.6,"1,009"
Norwch,East of England,0.3,649
Nottm,East midlands,4.7,"1,202"
Oxford,South East,4,"1,570"
Plymth,South West,0.2,608
Ports,South East,1.5,"1,448"
Prestn,North West,0.9,"1,175"
Redng,South East,5.4,822
Salford,North West,1.5,"1,235"
Sheff,Yorkshire & Humber,2.3,"1,471"
Shrew,,0.8,474
Stevng,East of England,6.5,"1,012"
Sthend,East of England,3.5,283
Stoke,West midlands,0.4,458
Sund,North East,0.7,560
Truro,South West,0.8,386
Wirral,North West,0,523
Wolve,West midlands,7.1,854
York,Yorkshire & Humber,0.7,447