City ,Region,Target Population - Inaxaplin,Target Population - JUSTICE,Clinical Trial Name,Clinical Trial Type
London,Greater London,"500-1,000","500-1,000","Inaxaplin, JUSTICE",Both
Manchester,North West England,300-700,200-500,"Inaxaplin, JUSTICE",Both
Birmingham,West Midlands,400-800,300-600,"Inaxaplin, JUSTICE",Both
Leeds,Yorkshire and the Humber,250-500,150-400,"Inaxaplin, JUSTICE",Both
Liverpool,North West England,300-600,200-400,"Inaxaplin, JUSTICE",Both
Bristol,South West England,200-400,100-300,"Inaxaplin, JUSTICE",Both
Sheffield,Yorkshire and the Humber,250-500,150-400,"Inaxaplin, JUSTICE",Both
Nottingham,East Midlands,200-400,100-300,"Inaxaplin, JUSTICE",Both
Glasgow,Scotland,150-300,100-250,"Inaxaplin, JUSTICE",Both
Edinburgh,Scotland,100-250,50-150,"Inaxaplin, JUSTICE",Both
Cardiff,Wales,100-200,50-150,"Inaxaplin, JUSTICE",Both
Newcastle,North East England,100-300,50-150,"Inaxaplin, JUSTICE",Both
Coventry,West Midlands,150-300,100-200,"Inaxaplin, JUSTICE",Both
Derby,East Midlands,100-200,50-150,"Inaxaplin, JUSTICE",Both
Leicester,East Midlands,150-300,100-200,"Inaxaplin, JUSTICE",Both